original_url,new_url,kind
http://endlessknots.netage.com/.a/6a00df3523b1d0883401bb0904d92c970d-320wi,https://web.archive.org/web/20250912000156im_/http://endlessknots.netage.com/.a/6a00df3523b1d0883401bb0904d92c970d-popup,full
http://endlessknots.netage.com/.a/6a00df3523b1d0883401bb0904d92c970d-popup,https://web.archive.org/web/20250912000156im_/http://endlessknots.netage.com/.a/6a00df3523b1d0883401bb0904d92c970d-popup,full
http://endlessknots.netage.com/.a/6a00df3523b1d0883401bb0904d92c970d-popup,https://web.archive.org/web/20250912000156im_/http://endlessknots.netage.com/.a/6a00df3523b1d0883401bb0904d92c970d-popup,full
http://endlessknots.netage.com/.a/6a00df3523b1d0883401bb0904d92c970d-popup,https://web.archive.org/web/20250912000156im_/http://endlessknots.netage.com/.a/6a00df3523b1d0883401bb0904d92c970d-popup,full
http://endlessknots.netage.com/.a/6a00df3523b1d0883401bb0904d8fe970d-320wi,https://web.archive.org/web/20250912000156im_/http://endlessknots.netage.com/.a/6a00df3523b1d0883401bb0904d8fe970d-pi,full
http://endlessknots.netage.com/.a/6a00df3523b1d0883401bb0904d8fe970d-pi,https://web.archive.org/web/20250912000156im_/http://endlessknots.netage.com/.a/6a00df3523b1d0883401bb0904d8fe970d-pi,full
http://endlessknots.netage.com/.a/6a00df3523b1d0883401bb0904d8fe970d-popup,https://web.archive.org/web/20250912000156im_/http://endlessknots.netage.com/.a/6a00df3523b1d0883401bb0904d8fe970d-pi,full
http://endlessknots.netage.com/.a/6a00df3523b1d0883401bb0904d8fe970d-pi,https://web.archive.org/web/20250912000156im_/http://endlessknots.netage.com/.a/6a00df3523b1d0883401bb0904d8fe970d-pi,full
http://endlessknots.netage.com/.a/6a00df3523b1d0883401b8d13a538a970c-320wi,https://web.archive.org/web/20250912000156im_/http://endlessknots.netage.com/.a/6a00df3523b1d0883401b8d13a538a970c-popup,full
http://endlessknots.netage.com/.a/6a00df3523b1d0883401b8d13a538a970c-popup,https://web.archive.org/web/20250912000156im_/http://endlessknots.netage.com/.a/6a00df3523b1d0883401b8d13a538a970c-popup,full
